objectid,filename,title,creator,date,description,subject,location,source,format original,format,type,identifier,language,rights,condition,tags
coll001,,Book of Elements,Grosset &. Dunlap,2012,"The legendary video game character Spyro the DragonNstar of the Skylanders universeNis featured in this first in a series of handbooks, which focus on all the elemental Skylander tribes and their unique and mystical characters. Full color.",Juvenile Fiction,Highland Village,Grosset & Dunlap,79,,,9780448461854,English,,,
coll002,,Bridge to Terabithia,Katherine Paterson,1977,"All summer, Jess pushed himself to be the fastest boy in the fifth grade, and when the year's first school-yard race was run, he was going to win. But his victory was stolen by a newcomer, by a girl, one who didn't even know enough to stay on the girls' side of the playground. Then, unexpectedly, Jess finds himself sticking up for Leslie, for the girl who breaks rules and wins races. The friendship between the two grows as Jess guides the city girl through the pitfalls of life in their small, rural town, and Leslie draws him into the imaginary world of magic and ceremony called Terabithia. Here, Leslie and Jess rule supreme among the oaks and evergreens, safe from the bullies and ridicule of the mundane world. Safe until an unforeseen tragedy forces Jess to reign in Terabithia alone, and both worlds are forever changed. In this poignant, beautifully rendered novel, Katherine Paterson weaves a powerful story of friendship and courage.",Juvenile Fiction,Highland Village,Scholastic,128,lectionbuilder-sheets/item.html?id=watkins0,,9780590132008,English,,,
coll003,,Curse of the Black Hole Pirates,Ryder Windham,2010,"The adventures of young Jedi Nuru Kungurama and the newly formed Breakout Squad continue as they take an unexpected and very dangerous detour and find themselves overwhelmed by space pirates. This series is written by acclaimed writer Ryder Windham, who has authored over 50 Star Wars books.",Juvenile Fiction,Highland Village,Grosset & Dunlap,192,,,9780448453934,English,,,
coll004,,Death on Naboo,Jude Watson,2006,"Ferus Olin's allegiance is to the Jedi. But when he's summoned to see the Emperor, the Sith Lord makes him an offer he can't refuse. If he can manage to prevent a planet from plunging into chaos, the Empire will spare Ferus's captured friends. And if he doesn't . . . they'll die. Another heart-stopping Jedi adventure from bestselling author Jude Watson.",Juvenile Fiction,Highland Village,Scholastic,135,,,9780439681377,English,,,
coll005,,Dragons,Lucille Recht Penner,2004,"For hundreds of years, people believed dragons were real. They thought dragons lived in caves full of treasure, soared through the air on large bat wings, and breathed fire. Storytellers told tales of dragons that fought knights and kings. Now kids can learn the unnatural history of dragons and recapture their magic with this full-color chapter book.",Juvenile Nonfiction,Highland Village,Random House,42,,,9780307264176,English,,,
coll006,,Hardy Boys 13: the Mark on the Door,Franklin W. Dixon,1934,"In their motorboat the Sleuth Frank and Joe Hardy search Barmet Bay for a dangerous stranger who has stolen a valuable boat. Suddenly, in the eerie fog, they spot the craft drifting aimlessly out to sea. What happens next starts the young detectives and their pal Chet Morton on an intriguing adventure that takes them to Mexico and into the comparatively unexplored desert and mountain regions of Baja California.",Juvenile Fiction,Highland Village,National Geographic Books,192,,,9780448089133,English,,,
coll007,,Kaleidoscope,Brian Selznick,2021,"An astounding new feat of storytelling from Brian Selznick, the award-winning creator of The Invention of Hugo Cabret and Wonderstruck.A ship. A garden. A library. A key. In Kaleidoscope, the incomparable Brian Selznick presents the story of two people bound to each other through time and space, memory and dreams. At the center of their relationship is a mystery about the nature of grief and love which will look different to each reader. Kaleidoscope is a feat of storytelling that illuminates how even the wildest tales can help us in the hardest times.",Juvenile Fiction,Highland Village,Scholastic Press,208,,,9781338777246,English,,,
coll008,,Living Dead in Dallas,Charlaine Harris,2002,"The second novel in #1 New York Times bestselling author Charlaine Harris’s “addictively entertaining” (Locus) Sookie Stackhouse series—the inspiration for the HBO® original series True Blood.Even though Sookie has her own vampire to look out for her—her red-hot, cold-blooded boyfriend, Bill Compton—she has to admit that the bloodsuckers did save her life. So when one of the local Undead asks the cocktail waitress for a favor, she feels like she owes them.Soon, Sookie’s in Dallas using her telepathic skills to search for a missing vampire. She’s supposed to interview certain humans involved. There’s just one condition: The vampires must promise to behave—and let the humans go unharmed. Easier said than done. All it takes is one delicious blonde and one small mistake for things to turn deadly...",Fiction,Highland Village,Penguin,304,,,9780441009237,English,,,
coll009,,Master of Deception,Jude Watson,2008,"Ferus Olin's in full blown double agent mode and that's got him and his friends worried. Friendship and loyalty are certainly tested when it comes down to the question of ""who do you serve?"" or ""How much hurt can one inflict while doing something necessary?""",Juvenile Fiction,Highland Village,Scholastic,160,,,9780439681421,English,,,
coll010,,Mysteries in Our National Parks: CliffHanger,Gloria Skurzynski,2007,"When a cougar attacks a hiker in Mesa Verde National Park, the Landons have another mystery on their hands. Jack and Ashley are used to visiting parks with their wildlife veterinarian mother and photographer father, but this time their hands are full with a foster child called Lucky Deal. As Lucky and Jack become friends, Ashley becomes suspicious: What did Lucky take from the burn site? Who did she call in the night? In a midnight showdown at Spruce Tree House, Jack realizes there's more to fear than a killer cat. Cliff-Hanger weaves Native American folklore, natural science, and geography into a heart-pounding thriller. The afterword by Will Morris, Chief of Interpretation and Visitor Services at Mesa Verde, outlines the dangers of cougar attacks and the need to protect wild animals. National Geographic supports K-12 educators with ELA Common Core Resources.Visit www.natgeoed.org/commoncore for more information.",Juvenile Fiction,Highland Village,National Geographic Books,160,,,9781426300929,English,,,
coll011,,Renegade,Alex Wheeler,2009,"""Deadly assassin X-7 has infiltrated the Rebel Alliance. Trained by ruthless Commander Rezi, X-7 is the best there is: He feels nothing and sees everything. Now, he's gunning for the ultimate prize: Luke Skywalker, the pilot that destroyed the Death Star. The seemingly clueless kid from Tatooine proves more resourceful and difficult to eliminate than X-7 could ever have imagined. Surrounded by friends and allies, and with a connection to the Force that grows stronger every day, Luke seems all but impervious to the usual tactics. But X-7 isn't done with him yet. This time, he knows to bring Luke down. He'll shatter the trust that holds the Rebel Alliance together and manufacture the ultimate betrayal""--P. [4] of cover.",Fiction,Highland Village,Scholastic,170,,,9780545112116,English,,,
coll012,,Sunset of the Sabertooth,Mary Pope Osborne,1996,Jack and Annie nearly freez when the Magic Tree House whisks them back to the time of the cave people ande woolly mammoths. But nothing can stop them from having another wild adventure-not even a saber-toothed tiger.,Magic,Highland Village,"Scholastic, Incorporated",68,,,9780590988247,English,,,
